Description,Time,CoPx,CoPy
WL2,42.0,-0.0004057685885543029,0.027884272655915514
WL2,43.0,-0.000240515873015873,0.026062784713284715
WL2,44.0,-0.0003381785357499643,0.02612043410161267
WL2,45.0,-8.764535964535964e-05,0.02515875629200629
WL2,46.0,7.871400028542884e-05,0.026728448266019694
WL2,47.0,8.318139568139571e-06,0.030569676533676534
WL2,48.0,0.000357611852433281,0.03354649853717711
WL2,49.0,0.0007778020163020163,0.03549201419276419
WL2,50.0,0.0007693552875695732,0.03699734947195661
WL2,51.0,0.00014839014014014014,0.03371307657657658
WL2,52.0,-4.1522584558298854e-05,0.029481723562152135
WL2,53.0,-0.00021627456027456028,0.027611880487630486
WL2,54.0,0.0002805392464678179,0.023936229841586984
WL2,55.0,0.000176277599027599,0.026454202988702987
WL2,56.0,0.00018882028685600114,0.0278435968674183
WL2,57.0,0.00011147443872443872,0.03125134216359216
WL2,58.0,0.00039629995004995003,0.033170872056514915
WL2,59.0,0.00024741984841984845,0.03434904776204776
WL2,60.0,0.0003144269517795637,0.034779964480482206
WN,0.0,0.0030149274308525808,0.03243165775591674
WN,1.0,0.0020482066352066355,0.03046696460746461
WN,2.0,0.002402903132581704,0.026309711930926214
WN,3.0,0.0022862478192478193,0.024489616616616618
WN,4.0,0.0014395193378050522,0.023658607000142714
WN,5.0,0.001828422493922494,0.023783914128414126
WN,6.0,0.0014250877336948766,0.02596784422720137
WN,7.0,0.0021389116259116258,0.02899662441012441
WN,8.0,0.001909181853860425,0.03135551398601399
WN,9.0,0.001708176926926927,0.03158518261118261
WN,10.0,0.0019440975809904382,0.03159088276009705
WN,11.0,0.0014871527599027597,0.030315995817245818
WN,12.0,0.001642766697588126,0.026642365598687025
WN,13.0,0.001286934648934649,0.02533256306306306
WN,14.0,0.0012858509704581132,0.02508487291280148
WN,15.0,0.001838960531960532,0.025228995745745747
WN,16.0,0.0017511129227914942,0.02620442860710718
WN,17.0,0.0014173921063921065,0.02933805316030316
WN,18.0,0.0013566412516055374,0.03115627097902098
WN,19.0,0.0018867738095238095,0.03308868657943658
WN,20.0,0.001960073819038105,0.03320864724561153
WN,21.0,0.0015194402259402259,0.031539310703560704
WN,22.0,0.0016924832310546596,0.026865435421721137
WN,23.0,0.0012067735235235233,0.024466994387244388
WN,24.0,0.0016698676323676322,0.024272499857285572
WN,25.0,0.001649213427713428,0.022685095273845275
WN,26.0,0.001775153525046382,0.02470190231197374
WN,27.0,0.002203557057057057,0.02729054121979122
WN,28.0,0.0021018727344084484,0.029078129798772653
WN,29.0,0.0013714054411554412,0.03156089106964107
WN,30.0,0.0017641903096903095,0.0326010531968032
WN,31.0,0.0015308148863148864,0.02996055980980981
WN,32.0,0.0018670708220351077,0.027024492578849722
WN,33.0,0.0013311951594451594,0.025042139675389676
WN,34.0,0.0008797421507064365,0.023520444519765947
WN,35.0,0.000528735413985414,0.023238793043043045
WN,36.0,0.0005437125017839304,0.023086127979163693
WN,37.0,0.0009967280494780494,0.02714317471042471
WN,38.0,0.001209980983302412,0.028894554552590268
WN,39.0,0.000782668346918347,0.03221179443729444
WN,40.0,0.0007316518481518481,0.03321743592122164
WN,41.0,0.0005671900471900472,0.031072054411554414
WN,42.0,0.0004545982945625803,0.02943770857713715
WN,43.0,0.00014919476619476617,0.026008696625196625
WN,44.0,0.0002882704795204795,0.023673155844155844
WN,45.0,0.00044736643786643786,0.02391454382954383
WN,46.0,0.0012194871200228343,0.024811089446268017
WN,47.0,0.0018186405691405691,0.02732478921778922
WN,48.0,0.001247459397745112,0.030545121521335806
WN,49.0,0.0014299851994851996,0.03238203085228085
WN,50.0,0.0009896812116454974,0.033150567289853
WN,51.0,0.0009731127198627199,0.03124422594022594
WN,52.0,0.0008481682603111174,0.028711437134294276
WN,53.0,0.0008829322536822537,0.026661671457171455
WN,54.0,0.0006093595333238191,0.025107756564863706
WN,55.0,0.0008489476261976263,0.023067741956241953
WN,56.0,0.0011550832738689881,0.02513970607963465
WN,57.0,0.0009079187044187043,0.028463467431717432
WN,58.0,0.0011395208006279435,0.0323968699871557
WN,59.0,0.0010598112755612755,0.03392174242099242
WN,60.0,0.0011438167144906743,0.03444384899569584
WOL1,0.0,8.107641859138866e-06,0.02463729818933561
WOL1,1.0,-0.0003321986271986272,0.02419991688116688
WOL1,2.0,-0.0003634725631511346,0.025011869237904955
WOL1,3.0,-0.0003443175675675676,0.02390537548262548
WOL1,4.0,0.0005322270943342372,0.025975722991294418
WOL1,5.0,0.0004899770127270128,0.026186571643071643
WOL1,6.0,-0.00012235518053375195,0.024251524332810047
WOL1,7.0,-0.00018923927498927498,0.024430772272272274
WOL1,8.0,-0.0008635954045954046,0.026969690202654488
WOL1,9.0,0.0005763661518661518,0.026272711926211927
WOL1,10.0,0.00014292129299272154,0.02807364653203939
WOL1,11.0,0.00011911600886600887,0.027916918954668954
WOL1,12.0,0.0005082272013700585,0.027130701905237618
WOL1,13.0,0.0006826889031889032,0.027308262155012156
WOL1,14.0,0.0015475674325674325,0.02827841098187527
WOL1,15.0,0.0010433078793078794,0.02793978753753754
WOL1,16.0,-7.02231340088483e-05,0.025707856286570574
WOL1,17.0,-4.702634777634779e-05,0.02555239157014157
WOL1,18.0,-5.1778649921507065e-05,0.026680758206079635
WOL1,19.0,-0.00045868386243386243,0.026984141105391105
WOL1,20.0,-0.0007092907092907093,0.02778124418438704
WOL1,21.0,-0.0008075331045331045,0.028253565994565997
WOL1,22.0,-0.0009253839018124732,0.02882147384758099
WOL1,23.0,-0.0006823442728442729,0.026540877234377237
WOL1,24.0,-0.0012419709219352077,0.027072244755244758
WOL1,25.0,-0.0009580259187759188,0.028588055162305163
WOL1,26.0,-0.00039533091908091906,0.028917217032967034
WOL1,27.0,-8.967556842556844e-05,0.026904349027599028
WOL1,28.0,-0.00012152144284287141,0.02776181732553161
WOL1,29.0,-0.00034309563134563134,0.026549215358215358
WOL1,30.0,-0.00011781111745397458,0.027245928785500216
WOL1,31.0,-0.00035160213785213787,0.029345723616473616
WOL1,32.0,-0.00028584444127301276,0.02735118006993007
WOL1,33.0,0.0003614016159016159,0.0271453273988274
WOL1,34.0,-0.000468579563293849,0.027919399707435424
WOL1,35.0,4.98573216073216e-05,0.02906570195195195
WOL1,36.0,0.001946729342086485,0.028707591051805335
WOL1,37.0,0.004496778171028171,0.02804211028886029
WOL1,38.0,0.0005653227843584987,0.02673518884686742
WOL1,39.0,0.0010162316602316602,0.02880848923923924
WOL1,40.0,0.0034740296132438992,0.028596929641786784
WOL1,41.0,-0.0009165653510653511,0.029115105140855142
WOL1,42.0,-0.000339451726844584,0.030357715391751104
WOL1,43.0,-9.631981981981982e-05,0.02994726072501073
WOL1,44.0,0.00021703107606679036,0.031081946339374913
WOL1,45.0,0.003494042935792936,0.02970422476047476
WOL1,46.0,0.005241691701155986,0.02992221606964464
WOL1,47.0,0.004274092485342485,0.028107542935792935
WOL1,48.0,0.004229001034679606,0.0274714483016983
WOL1,49.0,0.0003708424495924496,0.029386149184899187
WOL1,50.0,-3.260864135864136e-05,0.027529155094905097
WOL1,51.0,0.00042483479908479905,0.02536077134277134
WOL1,52.0,0.00029855412444698156,0.026732670401027545
WOL1,53.0,-0.0003603583583583583,0.027723427427427425
WOL1,54.0,-0.0005826029327815042,0.028056054231482802
WOL1,55.0,-0.0001249010439010439,0.02783073258973259
WOL1,56.0,-0.00019201070358213214,0.02819568403025546
WOL1,57.0,-0.0006740444372944373,0.02908444408694409
WOL1,58.0,-0.00023980544455544457,0.026983977272727274
WOL1,59.0,0.00020357518232518232,0.026128352495352492
WOL1,60.0,0.002185348091274397,0.0280736875
WOL2,0.0,0.0009472763045337896,0.03146301696606786
WOL2,1.0,0.0005980959888459888,0.03226076372801373
WOL2,2.0,0.0007573844013129727,0.03257919398458684
WOL2,3.0,0.0013450256685256685,0.031211881667381668
WOL2,4.0,0.0010192514628228914,0.03224861616954474
WOL2,5.0,0.0008846717789217789,0.03215973430573431
WOL2,6.0,0.0011843622448979591,0.033155334272869985
WOL2,7.0,0.0006151137923637923,0.03339326537251537
WOL2,8.0,0.00016127315541601258,0.03341699179392037
WOL2,9.0,0.00019775883025883025,0.03273991284141284
WOL2,10.0,-0.0011966726487797916,0.0344374553303839
WOL2,11.0,-0.0018804664307164305,0.03363118454168454
WOL2,12.0,7.512237762237758e-06,0.03263208966033966
WOL2,13.0,0.0007085890533390534,0.03357380684255684
WOL2,14.0,0.0003070313614956472,0.03292430908377337
WOL2,15.0,-0.0002536339553839554,0.03346706767481768
WOL2,16.0,-8.750321107463975e-06,0.033742349650349654
WOL2,17.0,0.0002106529744029744,0.033822709066209065
WOL2,18.0,0.00047607381903810473,0.03520520211930926
WOL2,19.0,-5.242127842127842e-05,0.03406372329472329
